candidate,auc_with,delta_auc,delta_sd,perm_p,tier,bh_q,survives
planner_lz76,0.4541666666666666,0.0669642857142857,0.021414558542876695,0.04147926036981509,exploratory,0.8088455772113943,False
executor_rolestab_slope,0.4497023809523809,0.06250000000000001,0.01755139485412116,0.034482758620689655,exploratory,0.8088455772113943,False
planner_rolestab_slope,0.4346230158730159,0.047420634920634926,0.021515659305818904,,exploratory,1.0,False
executor_rolestab_min,0.4300595238095237,0.04285714285714284,0.021206967009345053,,exploratory,1.0,False
executor_rolestab_mean,0.41607142857142854,0.028869047619047634,0.0129116977739332,0.09495252373813093,PRIMARY,0.38530734632683655,False
planner_rolestab_mean,0.4067460317460318,0.019543650793650787,0.010276839296492188,0.12843578210894552,PRIMARY,0.38530734632683655,False
executor_vcv_max,0.4033730158730158,0.01617063492063492,0.01804655933215245,,exploratory,1.0,False
planner_top1_var,0.4033730158730158,0.016170634920634912,0.00931219514712026,,exploratory,1.0,False
executor_participation_ratio,0.3998015873015873,0.01259920634920635,0.015751956510631458,,exploratory,1.0,False
executor_lz76,0.39761904761904765,0.010416666666666676,0.014538046517611954,,exploratory,1.0,False
executor_effective_rank,0.3976190476190476,0.010416666666666671,0.014779748453498878,,exploratory,1.0,False
executor_top1_var,0.3953373015873016,0.008134920634920639,0.016634748348193007,,exploratory,1.0,False
planner_rolestab_min,0.3935515873015873,0.006349206349206352,0.014628816342195846,,exploratory,1.0,False
critic_rolestab_mean,0.39325396825396824,0.006051587301587303,0.007221649855219609,0.21889055472263869,PRIMARY,0.4377811094452773,False
critic_top1_var,0.39146825396825397,0.004265873015873017,0.010161268129148122,,exploratory,1.0,False
executor_vcv_slope,0.39097222222222217,0.003769841269841273,0.014991651745923472,,exploratory,1.0,False
critic_rolestab_min,0.39057539682539677,0.003373015873015886,0.006672687190793736,,exploratory,1.0,False
critic_participation_ratio,0.3905753968253968,0.003373015873015875,0.0064628958233739426,,exploratory,1.0,False
planner_vcv_max,0.3885912698412698,0.0013888888888888811,0.010995357938490012,,exploratory,1.0,False
planner_klrd_slope,0.38789682539682546,0.0006944444444444406,0.01982414935963729,,exploratory,1.0,False
critic_effective_rank,0.3875992063492063,0.0003968253968253982,0.0038981910127755125,,exploratory,1.0,False
planner_klrd_final,0.3871031746031746,-9.920634920634053e-05,0.007409990455715301,,exploratory,1.0,False
critic_rolestab_slope,0.3870039682539682,-0.00019841269841270326,0.015469829787714929,,exploratory,1.0,False
planner_vcv_mean,0.3869047619047619,-0.0002976190476190438,0.004664808708535219,,exploratory,1.0,False
critic_klrd_auc,0.3862103174603174,-0.0009920634920634885,0.0022183214062497913,,exploratory,1.0,False
planner_effective_rank,0.3860119047619048,-0.001190476190476178,0.004273940323122634,,exploratory,1.0,False
planner_klrd_auc,0.38551587301587303,-0.0016865079365079444,0.0037789676497501845,,exploratory,1.0,False
planner_participation_ratio,0.38541666666666663,-0.0017857142857142904,0.006047520100844515,,exploratory,1.0,False
executor_klrd_final,0.3853174603174604,-0.0018849206349206254,0.004545123487680683,,exploratory,1.0,False
critic_vcv_mean,0.38482142857142865,-0.002380952380952375,0.005419246144344323,,exploratory,1.0,False
executor_klrd_auc,0.38462301587301584,-0.002579365079365076,0.0033846670851650773,,exploratory,1.0,False
critic_vcv_max,0.38442460317460314,-0.002777777777777768,0.007246818399900661,,exploratory,1.0,False
planner_klrd_excess_slope,0.3843253968253968,-0.002876984126984125,0.007567695454183959,0.4892553723138431,PRIMARY,0.5642178910544727,False
critic_klrd_final,0.38333333333333325,-0.0038690476190476218,0.003840964421151985,,exploratory,1.0,False
executor_vcv_mean,0.3829365079365079,-0.004265873015873009,0.004871223689361477,,exploratory,1.0,False
critic_klrd_excess_slope,0.3817460317460317,-0.005456349206349201,0.01617854514872246,0.5352323838080959,PRIMARY,0.5642178910544727,False
executor_klrd_excess_slope,0.3805555555555556,-0.006646825396825392,0.010410050809113489,0.5642178910544727,PRIMARY,0.5642178910544727,False
planner_vcv_slope,0.37936507936507935,-0.007837301587301592,0.006858165846311271,,exploratory,1.0,False
executor_klrd_excess_final,0.3782738095238095,-0.008928571428571428,0.012158344206232966,,exploratory,1.0,False
executor_klrd_slope,0.3778769841269841,-0.009325396825396844,0.013704846380419945,,exploratory,1.0,False
critic_vcv_slope,0.3776785714285714,-0.009523809523809526,0.015312524906011697,,exploratory,1.0,False
critic_klrd_slope,0.37668650793650793,-0.010515873015873006,0.01517695032322472,,exploratory,1.0,False
planner_klrd_excess_final,0.37589285714285714,-0.011309523809523802,0.008786345168843064,,exploratory,1.0,False
critic_klrd_excess_final,0.37301587301587297,-0.014186507936507936,0.015179219822233645,,exploratory,1.0,False
critic_lz76,0.37242063492063493,-0.01478174603174603,0.014314276451503165,,exploratory,1.0,False
