candidate,auc_with,delta_auc,delta_sd,perm_p,tier,bh_q,survives
executor_rolestab_mean,0.5762228260869565,0.05679347826086958,0.01333738173022612,0.047476261869065464,PRIMARY,0.2848575712143928,False
executor_lz76,0.5500679347826087,0.03063858695652174,0.019854978970576195,,exploratory,1.0,False
critic_lz76,0.5399456521739131,0.020516304347826097,0.018213111234525788,,exploratory,1.0,False
planner_rolestab_min,0.5338315217391305,0.014402173913043503,0.014642427977283797,,exploratory,1.0,False
planner_vcv_mean,0.5300271739130434,0.01059782608695653,0.00600906097486303,,exploratory,1.0,False
executor_rolestab_min,0.5266304347826087,0.007201086956521735,0.014462930705877867,,exploratory,1.0,False
executor_klrd_excess_slope,0.5256114130434784,0.006182065217391314,0.010153693603672468,0.2353823088455772,PRIMARY,0.4143928035982009,False
critic_rolestab_mean,0.5251358695652175,0.0057065217391304626,0.008567327592627422,0.22288855572213892,PRIMARY,0.4143928035982009,False
planner_klrd_final,0.5232336956521738,0.003804347826086965,0.007106900451424985,,exploratory,1.0,False
planner_klrd_slope,0.5221467391304347,0.0027173913043478325,0.012832303209910422,,exploratory,1.0,False
planner_klrd_excess_slope,0.5218070652173913,0.002377717391304357,0.012113554697438928,0.3453273363318341,PRIMARY,0.4143928035982009,False
critic_rolestab_min,0.5213315217391304,0.0019021739130434673,0.00867226815067006,,exploratory,1.0,False
critic_klrd_auc,0.5210597826086957,0.0016304347826087112,0.0039284870366306755,,exploratory,1.0,False
planner_rolestab_mean,0.5209239130434783,0.001494565217391311,0.009422140460644457,0.32733633183408295,PRIMARY,0.4143928035982009,False
critic_klrd_final,0.5203125,0.0008831521739130571,0.004828151334573745,,exploratory,1.0,False
planner_klrd_auc,0.5202445652173913,0.0008152173913043598,0.004240349601719344,,exploratory,1.0,False
executor_klrd_auc,0.5200407608695652,0.0006114130434782677,0.002292736009604094,,exploratory,1.0,False
critic_participation_ratio,0.5188858695652174,-0.0005434782608695593,0.009279006021176012,,exploratory,1.0,False
executor_vcv_mean,0.5188179347826087,-0.0006114130434782483,0.0035293410890925307,,exploratory,1.0,False
critic_rolestab_slope,0.5183423913043479,-0.0010869565217391298,0.01576086956521739,,exploratory,1.0,False
critic_vcv_mean,0.5180027173913043,-0.0014266304347826276,0.003581265041602493,,exploratory,1.0,False
critic_top1_var,0.5175951086956521,-0.0018342391304347727,0.012812687305560651,,exploratory,1.0,False
critic_effective_rank,0.5171875,-0.0022418478260869514,0.004104857701092585,,exploratory,1.0,False
executor_vcv_max,0.5169157608695653,-0.0025135869565217155,0.009307561078507684,,exploratory,1.0,False
executor_klrd_final,0.5165081521739131,-0.0029211956521738884,0.003497816755939107,,exploratory,1.0,False
planner_effective_rank,0.5163722826086957,-0.0030570652173912945,0.0037178392099217468,,exploratory,1.0,False
executor_klrd_slope,0.5159646739130436,-0.0034646739130434643,0.005659012246025039,,exploratory,1.0,False
critic_klrd_slope,0.5157608695652175,-0.003668478260869551,0.008869067348025849,,exploratory,1.0,False
executor_effective_rank,0.5144021739130434,-0.005027173913043459,0.008806402403858047,,exploratory,1.0,False
planner_participation_ratio,0.5137907608695653,-0.005638586956521724,0.006155881003066336,,exploratory,1.0,False
planner_klrd_excess_final,0.513586956521739,-0.005842391304347827,0.00786519328174256,,exploratory,1.0,False
executor_klrd_excess_final,0.513383152173913,-0.006046195652173883,0.010253202088129295,,exploratory,1.0,False
executor_participation_ratio,0.5131793478260869,-0.006249999999999992,0.010554188307575242,,exploratory,1.0,False
critic_vcv_max,0.5131114130434782,-0.006317934782608675,0.01069212333256102,,exploratory,1.0,False
planner_top1_var,0.5129755434782609,-0.006453804347826076,0.008814521681521206,,exploratory,1.0,False
critic_vcv_slope,0.5127717391304347,-0.006657608695652165,0.010470775503766823,,exploratory,1.0,False
planner_vcv_max,0.5119565217391304,-0.007472826086956527,0.011183476652958097,,exploratory,1.0,False
planner_lz76,0.5114130434782609,-0.008016304347826075,0.015437198410147273,,exploratory,1.0,False
critic_klrd_excess_final,0.5113451086956522,-0.008084239130434772,0.01272014178497131,,exploratory,1.0,False
critic_klrd_excess_slope,0.5112092391304348,-0.008220108695652147,0.009849137830743319,0.6796601699150425,PRIMARY,0.6796601699150425,False
executor_top1_var,0.5108695652173914,-0.008559782608695648,0.012659223392817678,,exploratory,1.0,False
planner_vcv_slope,0.509850543478261,-0.009578804347826066,0.008565980761474691,,exploratory,1.0,False
executor_vcv_slope,0.509375,-0.01005434782608696,0.013308283465202048,,exploratory,1.0,False
planner_rolestab_slope,0.5076086956521739,-0.011820652173913032,0.01199275020250399,,exploratory,1.0,False
executor_rolestab_slope,0.505774456521739,-0.013654891304347832,0.01650954994977003,,exploratory,1.0,False
