feature,spearman_rho,p,group
planner_rolestab_slope,-0.39442818493813686,0.007337885002086172,B-candidate
executor_brief_cosine_mean,0.34641084068479844,0.019748424391481376,A-baseline
executor_vcv_max,-0.3429810303809886,0.02108297294730285,B-candidate
executor_brief_jaccard_slope,-0.33955122007717864,0.022492495717146392,A-baseline
planner_vcv_max,-0.3121127376466996,0.036865030567110234,B-candidate
executor_self_repetition_mean,0.2881040655200304,0.054960548903488886,A-baseline
executor_rolestab_slope,-0.25037615217812165,0.0971458925794251,B-candidate
planner_lz76,-0.27806966647929865,0.10056829247373633,B-candidate
executor_novelty_slope,-0.22979729035526233,0.1288753063170203,A-baseline
executor_vcv_mean,-0.22636748005145244,0.13484288900519778,B-candidate
executor_rolestab_min,0.20921842853240302,0.1678005524371731,B-candidate
planner_rolestab_mean,0.20235880792478325,0.18249744214882951,B-candidate
executor_brief_cosine_max,0.18863956670954368,0.2146054043291399,A-baseline
planner_klrd_auc,-0.1852097564057338,0.22321096537769264,B-candidate
executor_rolestab_mean,0.1817799461019239,0.2320517651005092,B-candidate
planner_brief_jaccard_slope,-0.178350135798114,0.24112938631835945,A-baseline
planner_klrd_final,-0.178350135798114,0.24112938631835945,B-candidate
critic_brief_jaccard_mean,0.16463089458287453,0.2798327851680737,A-baseline
executor_klrd_excess_final,-0.15777127397525476,0.3006316485741066,B-candidate
planner_total_tokens,-0.15777127397525476,0.3006316485741066,A-baseline
planner_mean_tokens_per_turn,-0.15263158599318194,0.31685007644782825,A-baseline
planner_token_slope,-0.15091165336763496,0.3223986817542924,A-baseline
planner_brief_jaccard_mean,0.15091165336763496,0.3223986817542924,A-baseline
executor_klrd_auc,-0.15091165336763496,0.3223986817542924,B-candidate
critic_novelty_slope,-0.14748184306382506,0.333644757505699,A-baseline
planner_n_turns,-0.14303594317744242,0.3485809962387081,A-baseline
executor_n_turns,-0.14303594317744242,0.3485809962387081,A-baseline
critic_n_turns,-0.14303594317744242,0.3485809962387081,A-baseline
planner_rolestab_min,0.1406222224562053,0.356858911831903,B-candidate
executor_lz76,-0.14691295785339217,0.39253894574812664,B-candidate
critic_vcv_mean,-0.13033279154477567,0.39346837012825764,B-candidate
planner_novelty_mean,0.12690298124096577,0.40614213889482964,A-baseline
critic_klrd_auc,-0.12690298124096577,0.40614213889482964,B-candidate
critic_vcv_max,-0.12690298124096577,0.40614213889482964,B-candidate
critic_self_repetition_mean,0.12690298124096577,0.40614213889482964,A-baseline
executor_klrd_final,-0.12347317093715589,0.41904786663133586,B-candidate
planner_self_repetition_mean,0.12004336063334599,0.43218315621628434,A-baseline
critic_total_tokens,-0.11490242990497965,0.4522956445286064,A-baseline
critic_klrd_excess_slope,-0.10632411941810646,0.4869629073785585,B-candidate
executor_klrd_excess_slope,-0.09946449881048669,0.5156487749414862,B-candidate
planner_novelty_slope,-0.09946449881048669,0.5156487749414862,A-baseline
executor_token_slope,0.09946449881048669,0.5156487749414862,A-baseline
critic_effective_rank,-0.09946449881048669,0.5156487749414862,B-candidate
critic_klrd_final,-0.09946449881048669,0.5156487749414862,B-candidate
critic_klrd_slope,0.0926048782028669,0.5451565543276524,B-candidate
critic_mean_tokens_per_turn,-0.09089296693976001,0.5526445839291525,A-baseline
planner_klrd_excess_slope,0.089175067899057,0.5602073812597765,B-candidate
executor_vcv_slope,0.089175067899057,0.5602073812597765,B-candidate
executor_top1_var,-0.089175067899057,0.5602073812597765,B-candidate
critic_lz76,0.09825567980895417,0.5686025308496294,B-candidate
critic_klrd_excess_final,-0.08574525759524715,0.575449659147853,B-candidate
critic_brief_cosine_max,-0.08231544729143726,0.5908782074142271,A-baseline
planner_vcv_mean,-0.07888563698762738,0.6064876108574623,B-candidate
critic_participation_ratio,-0.07888563698762738,0.6064876108574623,B-candidate
critic_rolestab_min,0.07545582668381748,0.6222722247991319,B-candidate
planner_brief_cosine_mean,0.06859620607619772,0.6543433921955246,A-baseline
planner_klrd_slope,-0.06859620607619772,0.6543433921955246,B-candidate
critic_brief_cosine_slope,0.06516639577238784,0.6706175616663423,A-baseline
critic_vcv_slope,-0.061736585468577944,0.6870421871242719,B-candidate
critic_top1_var,0.061736585468577944,0.6870421871242719,B-candidate
planner_top1_var,-0.05830677516476805,0.7036105696105646,B-candidate
executor_novelty_mean,0.054876964860958166,0.7203158209680578,A-baseline
planner_effective_rank,-0.05144715455714829,0.7371508720147085,B-candidate
executor_total_tokens,-0.05144715455714829,0.7371508720147085,A-baseline
critic_rolestab_mean,0.05144715455714829,0.7371508720147085,B-candidate
executor_mean_tokens_per_turn,0.048017344253338395,0.7541084810971809,A-baseline
