candidate,auc_with,delta_auc,delta_sd,perm_p,tier,bh_q,survives
critic_vcv_max,0.6357858649789029,0.03900316455696201,0.011464059847578353,,exploratory,1.0,False
planner_rolestab_mean,0.6330432489451476,0.036260548523206745,0.012636095058038976,0.04847576211894053,PRIMARY,0.2908545727136432,False
planner_rolestab_min,0.6194883966244726,0.022705696202531638,0.010642350381045032,,exploratory,1.0,False
critic_effective_rank,0.6130274261603377,0.016244725738396627,0.004943758715379963,,exploratory,1.0,False
critic_vcv_slope,0.6115242616033754,0.014741561181434598,0.013924924654514578,,exploratory,1.0,False
executor_rolestab_mean,0.6111550632911393,0.014372362869198302,0.010902391191602984,0.1679160419790105,PRIMARY,0.5037481259370316,False
critic_participation_ratio,0.607990506329114,0.011207805907172986,0.007538458769341789,,exploratory,1.0,False
executor_rolestab_min,0.6071729957805906,0.010390295358649793,0.009603067548249107,,exploratory,1.0,False
planner_vcv_slope,0.6015822784810126,0.00479957805907173,0.012429701378792938,,exploratory,1.0,False
critic_top1_var,0.6010284810126583,0.004245780590717308,0.009869318893431754,,exploratory,1.0,False
critic_klrd_excess_final,0.6007911392405063,0.004008438818565408,0.007450349580963489,,exploratory,1.0,False
planner_klrd_excess_slope,0.6003428270042194,0.0035601265822784835,0.007458699195721045,0.28585707146426786,PRIMARY,0.5717141429285357,False
critic_klrd_final,0.5992352320675105,0.002452531645569611,0.005831041488267753,,exploratory,1.0,False
planner_klrd_slope,0.5991824894514767,0.0023997890295358536,0.010592570220933965,,exploratory,1.0,False
executor_klrd_slope,0.598470464135021,0.0016877637130801703,0.012559610573749783,,exploratory,1.0,False
executor_effective_rank,0.5982067510548523,0.001424050632911411,0.006953429356403123,,exploratory,1.0,False
executor_klrd_excess_final,0.597178270042194,0.0003955696202531722,0.004994909526602297,,exploratory,1.0,False
planner_klrd_auc,0.5970727848101266,0.00029008438818567406,0.002313922617618295,,exploratory,1.0,False
planner_vcv_mean,0.5967827004219408,0.0,0.0050698796796193575,,exploratory,1.0,False
executor_klrd_final,0.5965189873417722,-0.0002637130801687648,0.0037941705089499385,,exploratory,1.0,False
planner_rolestab_slope,0.5963871308016877,-0.00039556962025316666,0.011449977349213976,,exploratory,1.0,False
planner_klrd_final,0.5963607594936711,-0.00042194092827002594,0.005074267287259784,,exploratory,1.0,False
critic_klrd_auc,0.5961761603375527,-0.0006065400843881852,0.003031094786843421,,exploratory,1.0,False
executor_klrd_auc,0.5954641350210971,-0.0013185654008438686,0.0028082657198257523,,exploratory,1.0,False
critic_vcv_mean,0.5947257383966246,-0.0020569620253164445,0.0018565101167508419,,exploratory,1.0,False
planner_effective_rank,0.59459388185654,-0.0021888185654008407,0.00579034900805345,,exploratory,1.0,False
executor_vcv_mean,0.594435654008439,-0.0023470464135020965,0.0027581665201096097,,exploratory,1.0,False
critic_klrd_excess_slope,0.5937763713080169,-0.0030063291139240554,0.008824109203678347,0.4612693653173413,PRIMARY,0.6476761619190405,False
critic_klrd_slope,0.5925896624472573,-0.00419303797468355,0.011548675970478938,,exploratory,1.0,False
planner_klrd_excess_final,0.592246835443038,-0.0045358649789029645,0.008004723742922172,,exploratory,1.0,False
executor_klrd_excess_slope,0.5915348101265823,-0.005247890295358648,0.004620551186850872,0.5397301349325337,PRIMARY,0.6476761619190405,False
executor_vcv_max,0.5912183544303797,-0.005564345991561187,0.0066369305410224,,exploratory,1.0,False
executor_vcv_slope,0.5906645569620252,-0.0061181434599156094,0.008063585344384392,,exploratory,1.0,False
executor_participation_ratio,0.590506329113924,-0.006276371308016881,0.008725516252507753,,exploratory,1.0,False
executor_top1_var,0.589003164556962,-0.007779535864978893,0.006827826521151331,,exploratory,1.0,False
planner_vcv_max,0.5873417721518986,-0.00944092827004218,0.007518181952632141,,exploratory,1.0,False
planner_participation_ratio,0.5865242616033755,-0.010258438818565401,0.008609293068511829,,exploratory,1.0,False
planner_lz76,0.5859968354430379,-0.010785864978902954,0.008101573138839687,,exploratory,1.0,False
planner_top1_var,0.5859177215189872,-0.01086497890295358,0.008465806003052023,,exploratory,1.0,False
executor_lz76,0.5854166666666666,-0.011366033755274275,0.008794702726811343,,exploratory,1.0,False
critic_rolestab_slope,0.5847573839662445,-0.012025316455696206,0.006778195707349082,,exploratory,1.0,False
critic_rolestab_mean,0.5845464135021097,-0.01223628691983123,0.014384914002489367,0.8075962018990505,PRIMARY,0.8075962018990505,False
critic_lz76,0.5835443037974682,-0.01323839662447257,0.012566585460165801,,exploratory,1.0,False
executor_rolestab_slope,0.5833860759493671,-0.013396624472573832,0.007996031079429216,,exploratory,1.0,False
critic_rolestab_min,0.5806962025316456,-0.016086497890295363,0.017214223544691546,,exploratory,1.0,False
