feature,spearman_rho,p,group
executor_brief_cosine_max,0.4001146569925761,2.8207067282277192e-05,A-baseline
planner_rolestab_mean,0.37462472710694866,9.67540091095556e-05,B-candidate
planner_rolestab_min,0.3707626165182172,0.00011560973304350567,B-candidate
executor_brief_cosine_mean,0.3560865962810377,0.00022289335652608784,A-baseline
executor_mean_tokens_per_turn,-0.3228733317272361,0.0008798371167034429,A-baseline
executor_total_tokens,-0.30008846459870653,0.0020720664415815383,A-baseline
executor_rolestab_mean,0.2510371882675429,0.01053507437361462,B-candidate
planner_token_slope,-0.24949234403205034,0.011037968071158321,A-baseline
executor_rolestab_min,0.24871992191430403,0.011297202453075828,B-candidate
executor_brief_jaccard_mean,0.22554725838191547,0.021979596960788307,A-baseline
planner_klrd_slope,-0.22168514779318405,0.024418470211909182,B-candidate
planner_vcv_max,-0.2178230372044526,0.02708470176144055,B-candidate
planner_mean_tokens_per_turn,-0.21550636256435138,0.028799843098678415,A-baseline
executor_token_slope,-0.21396092661572116,0.029994510071161946,A-baseline
planner_total_tokens,-0.20160327981253312,0.04114184523682779,A-baseline
planner_self_repetition_mean,0.1969676400253029,0.04613149649877918,A-baseline
critic_mean_tokens_per_turn,-0.18654147799379053,0.05920329734200803,A-baseline
planner_brief_jaccard_mean,0.18383646402361606,0.06304949179009343,A-baseline
executor_brief_jaccard_slope,0.18383646402361606,0.06304949179009343,A-baseline
critic_token_slope,-0.18383646402361606,0.06304949179009343,A-baseline
planner_vcv_mean,-0.17842950919939202,0.07134714341200461,B-candidate
critic_total_tokens,-0.16761651999739344,0.0905780353361426,A-baseline
executor_vcv_max,-0.16529833319770518,0.09519256333103028,B-candidate
planner_brief_cosine_slope,0.16220864472672006,0.1016288880931939,A-baseline
critic_rolestab_mean,0.1583465341379886,0.11014863636966894,B-candidate
executor_self_repetition_mean,0.15371200143151087,0.1210945095747805,A-baseline
executor_vcv_mean,-0.13903598119433144,0.16131779934967427,B-candidate
planner_klrd_final,-0.13285660425236118,0.18095165531998422,B-candidate
critic_rolestab_min,0.13285660425236118,0.18095165531998422,B-candidate
planner_brief_jaccard_slope,0.12281511672165946,0.21649188410611275,A-baseline
critic_klrd_excess_final,0.1150908955441966,0.24701041134517113,B-candidate
executor_klrd_excess_final,0.11200120707321144,0.2600115374941453,B-candidate
critic_vcv_slope,-0.10273214166025602,0.3017779486296398,B-candidate
executor_vcv_slope,0.10273214166025602,0.3017779486296398,B-candidate
planner_klrd_auc,-0.10273214166025602,0.3017779486296398,B-candidate
critic_klrd_auc,-0.10041487530701718,0.3128711130090023,B-candidate
executor_novelty_mean,-0.10041487530701718,0.3128711130090023,A-baseline
critic_brief_cosine_slope,0.0926906541295543,0.35173276564862077,A-baseline
critic_brief_jaccard_mean,0.09191823201180803,0.3557779082622389,A-baseline
executor_top1_var,-0.08882854354082287,0.37224579425986437,B-candidate
critic_klrd_final,-0.08805612142307659,0.37643434788847174,B-candidate
planner_brief_cosine_mean,0.08573885506983774,0.3891708819956238,A-baseline
critic_rolestab_slope,-0.0818767444811063,0.41096381702740414,B-candidate
critic_lz76,-0.09192789692115777,0.41437316170837146,B-candidate
planner_rolestab_slope,-0.07724221177462859,0.4380352357256947,B-candidate
planner_vcv_slope,-0.0764697896568823,0.4426433225848796,B-candidate
planner_brief_cosine_max,-0.07415252330364344,0.45663020762503426,A-baseline
planner_klrd_excess_final,0.06333861365519543,0.5250304444901732,B-candidate
critic_klrd_excess_slope,0.06333861365519543,0.5250304444901732,B-candidate
executor_n_turns,-0.059153465407265265,0.5528228372247765,A-baseline
critic_n_turns,-0.059153465407265265,0.5528228372247765,A-baseline
planner_n_turns,-0.059153465407265265,0.5528228372247765,A-baseline
critic_klrd_slope,-0.057931658830971434,0.5610684461241799,B-candidate
critic_vcv_mean,-0.05715923671322515,0.5663113616220196,B-candidate
executor_klrd_auc,-0.05561439247773258,0.5768661045764767,B-candidate
critic_self_repetition_mean,0.05561439247773258,0.5768661045764767,A-baseline
executor_participation_ratio,0.05252470400674744,0.598245116955866,B-candidate
planner_novelty_slope,-0.048662593418016015,0.6254553396949238,A-baseline
critic_novelty_slope,-0.04557290494703087,0.6475938087718357,A-baseline
planner_top1_var,-0.04557290494703087,0.6475938087718357,B-candidate
critic_brief_cosine_max,0.041710794358299434,0.6757027899730201,A-baseline
critic_effective_rank,-0.041710794358299434,0.6757027899730201,B-candidate
critic_brief_jaccard_slope,0.03784868376956801,0.7042643899492036,A-baseline
executor_klrd_slope,0.03553141741632915,0.7216038149801178,B-candidate
