candidate,auc_with,delta_auc,delta_sd,perm_p,tier,bh_q,survives
critic_lz76,0.5369949494949495,0.06931818181818183,0.026490789674099794,0.04097951024487756,exploratory,0.8605697151424287,False
planner_vcv_max,0.530429292929293,0.06275252525252525,0.01998422689419632,0.005497251374312844,exploratory,0.23088455772113944,False
planner_klrd_slope,0.5150252525252526,0.04734848484848486,0.02575107612587578,,exploratory,1.0,False
executor_klrd_slope,0.5037878787878788,0.036111111111111135,0.02488495106917702,,exploratory,1.0,False
executor_klrd_excess_final,0.49520202020202025,0.027525252525252543,0.019640231672071476,,exploratory,1.0,False
planner_rolestab_min,0.4883838383838384,0.02070707070707071,0.014365113791240305,,exploratory,1.0,False
planner_klrd_excess_slope,0.482070707070707,0.014393939393939395,0.014175194142107266,0.17841079460269865,PRIMARY,0.5352323838080959,False
critic_vcv_max,0.47992424242424236,0.012247474747474747,0.016429188906879912,,exploratory,1.0,False
executor_lz76,0.47815656565656556,0.010479797979797983,0.0185786348225648,,exploratory,1.0,False
critic_klrd_excess_final,0.4779040404040404,0.010227272727272748,0.01125013462264563,,exploratory,1.0,False
critic_top1_var,0.4751262626262626,0.007449494949494942,0.013492389031576653,,exploratory,1.0,False
planner_participation_ratio,0.4722222222222222,0.0045454545454545634,0.01434290082945747,,exploratory,1.0,False
planner_klrd_excess_final,0.47184343434343423,0.004166666666666677,0.010957239191741254,,exploratory,1.0,False
planner_top1_var,0.46818181818181814,0.0005050505050505138,0.021599398768023324,,exploratory,1.0,False
critic_participation_ratio,0.46805555555555556,0.000378787878787884,0.008193461910559424,,exploratory,1.0,False
executor_rolestab_mean,0.467550505050505,-0.00012626262626259376,0.015494332985246198,,exploratory,1.0,False
executor_vcv_mean,0.46742424242424246,-0.0002525252525252403,0.006180423358848684,,exploratory,1.0,False
executor_klrd_auc,0.4672979797979798,-0.0003787878787878729,0.003221553237922476,,exploratory,1.0,False
critic_klrd_auc,0.4666666666666666,-0.0010101010101010027,0.002575262380602395,,exploratory,1.0,False
planner_vcv_slope,0.4665404040404041,-0.001136363636363627,0.010303370711350176,,exploratory,1.0,False
planner_klrd_auc,0.46603535353535347,-0.0016414141414141325,0.0037688918072220448,,exploratory,1.0,False
planner_klrd_final,0.46603535353535347,-0.001641414141414141,0.004093324514506901,,exploratory,1.0,False
planner_vcv_mean,0.4657828282828283,-0.001893939393939398,0.005042607461544429,,exploratory,1.0,False
critic_klrd_final,0.4654040404040404,-0.0022727272727272652,0.0039847812722372455,,exploratory,1.0,False
executor_klrd_final,0.4647727272727272,-0.0029040404040403976,0.005130366074219712,,exploratory,1.0,False
critic_effective_rank,0.464520202020202,-0.0031565656565656214,0.006075056426120931,,exploratory,1.0,False
executor_rolestab_slope,0.46452020202020206,-0.0031565656565656574,0.01576766948795929,,exploratory,1.0,False
planner_rolestab_mean,0.4636363636363637,-0.004040404040404022,0.012432862247566826,,exploratory,1.0,False
planner_effective_rank,0.46351010101010093,-0.004166666666666647,0.00799652223917626,,exploratory,1.0,False
executor_effective_rank,0.46313131313131317,-0.0045454545454545305,0.008398125832482757,,exploratory,1.0,False
executor_rolestab_min,0.4628787878787878,-0.004797979797979796,0.011760738406257593,,exploratory,1.0,False
critic_vcv_mean,0.4625,-0.0051767676767676685,0.004261246724920751,,exploratory,1.0,False
executor_participation_ratio,0.4616161616161616,-0.006060606060606049,0.010018603244887557,,exploratory,1.0,False
planner_rolestab_slope,0.45972222222222225,-0.00795454545454544,0.008794080883518096,,exploratory,1.0,False
critic_rolestab_mean,0.4593434343434343,-0.008333333333333326,0.01098121964907014,,exploratory,1.0,False
critic_klrd_slope,0.4592171717171717,-0.008459595959595948,0.014490527428799083,,exploratory,1.0,False
critic_klrd_excess_slope,0.45770202020202017,-0.009974747474747464,0.009664659713767476,0.6756621689155422,PRIMARY,0.8500749625187406,False
executor_top1_var,0.4551767676767676,-0.012499999999999994,0.016335768607143152,,exploratory,1.0,False
critic_rolestab_min,0.45505050505050504,-0.012626262626262614,0.011763449190759716,,exploratory,1.0,False
critic_vcv_slope,0.45340909090909093,-0.014267676767676738,0.011716600256005358,,exploratory,1.0,False
executor_vcv_max,0.45265151515151525,-0.015025252525252511,0.010698103496727398,,exploratory,1.0,False
executor_vcv_slope,0.4516414141414142,-0.016035353535353524,0.01802108739388597,,exploratory,1.0,False
executor_klrd_excess_slope,0.45101010101010097,-0.016666666666666656,0.013909534700929718,0.8500749625187406,PRIMARY,0.8500749625187406,False
critic_rolestab_slope,0.45088383838383833,-0.01679292929292928,0.015199314333500384,,exploratory,1.0,False
planner_lz76,0.45088383838383833,-0.016792929292929287,0.014424365326415263,,exploratory,1.0,False
