feature,spearman_rho,p,group
executor_brief_cosine_max,0.3753267431072664,0.011067770808927197,A-baseline
planner_vcv_max,-0.3714573952401812,0.011994727893044052,B-candidate
executor_vcv_mean,-0.32889456870224376,0.027385369158370455,B-candidate
executor_brief_cosine_mean,0.32889456870224376,0.027385369158370455,A-baseline
executor_self_repetition_mean,0.3134171772339029,0.03604265612423844,A-baseline
executor_klrd_slope,0.2940704378984768,0.04990606295470968,B-candidate
planner_mean_tokens_per_turn,-0.263115654961795,0.08076204241119053,A-baseline
planner_total_tokens,-0.263115654961795,0.08076204241119053,A-baseline
planner_rolestab_min,0.2592463070947098,0.08549112359696862,B-candidate
critic_vcv_max,-0.228291524158028,0.1314703602194378,B-candidate
critic_total_tokens,-0.2244221762909428,0.1383178274539684,A-baseline
executor_brief_jaccard_mean,0.21668348055677236,0.15280223413399024,A-baseline
planner_klrd_slope,0.21668348055677236,0.15280223413399024,B-candidate
executor_mean_tokens_per_turn,-0.2128141326896871,0.16044845612237774,A-baseline
critic_rolestab_mean,0.2128141326896871,0.16044845612237774,B-candidate
executor_total_tokens,-0.20508219207968326,0.17655613720994603,A-baseline
planner_brief_jaccard_mean,0.20507543695551667,0.17657069995037072,A-baseline
planner_token_slope,-0.20507543695551667,0.17657069995037072,A-baseline
executor_brief_jaccard_slope,0.20120608908843146,0.18505478983971815,A-baseline
critic_lz76,-0.22433111339637216,0.18840170299732742,B-candidate
executor_vcv_max,-0.19733674122134628,0.19382585050059967,B-candidate
executor_klrd_excess_final,-0.1895980454871758,0.21224235318225784,B-candidate
planner_self_repetition_mean,0.17025130615174972,0.2635118672483631,A-baseline
planner_vcv_slope,0.17025130615174972,0.2635118672483631,B-candidate
critic_klrd_final,-0.15864326255049402,0.29793400091679023,B-candidate
critic_klrd_auc,-0.15864326255049402,0.29793400091679023,B-candidate
executor_lz76,-0.17581529362154588,0.30504246566538723,B-candidate
executor_token_slope,-0.15477391468340884,0.31002384461430615,A-baseline
planner_brief_cosine_max,0.15477391468340884,0.31002384461430615,A-baseline
executor_participation_ratio,-0.1509045668163236,0.3224216691101771,B-candidate
planner_top1_var,-0.1509045668163236,0.3224216691101771,B-candidate
critic_n_turns,-0.14955901603145236,0.32680505145406247,A-baseline
planner_n_turns,-0.14955901603145236,0.32680505145406247,A-baseline
executor_n_turns,-0.14955901603145236,0.32680505145406247,A-baseline
executor_effective_rank,-0.14316587108215315,0.34813877035653007,B-candidate
planner_rolestab_mean,0.1354271753479827,0.37507635961530916,B-candidate
planner_vcv_mean,-0.1315578274808975,0.38899827666260967,B-candidate
executor_rolestab_slope,0.1315578274808975,0.38899827666260967,B-candidate
critic_brief_jaccard_mean,0.1315578274808975,0.38899827666260967,A-baseline
critic_mean_tokens_per_turn,-0.12768847961381227,0.40321902047158886,A-baseline
executor_vcv_slope,0.12768847961381227,0.40321902047158886,B-candidate
critic_rolestab_min,0.12768847961381227,0.40321902047158886,B-candidate
planner_novelty_slope,-0.12768847961381227,0.40321902047158886,A-baseline
planner_klrd_final,-0.12381913174672705,0.4177356296008651,B-candidate
critic_klrd_excess_final,-0.11994978387964184,0.4325447235575587,B-candidate
planner_brief_jaccard_slope,0.11994978387964184,0.4325447235575587,A-baseline
planner_brief_cosine_mean,0.11608043601255662,0.44764250155065577,A-baseline
critic_novelty_slope,-0.1122110881454714,0.46302474220297984,A-baseline
critic_brief_cosine_slope,-0.1122110881454714,0.46302474220297984,A-baseline
planner_klrd_auc,-0.1122110881454714,0.46302474220297984,B-candidate
critic_klrd_excess_slope,-0.10834174027838618,0.47868680423691556,B-candidate
executor_top1_var,0.10447239241130095,0.4946236281460209,B-candidate
critic_novelty_mean,0.10060304454421573,0.5108297388615792,A-baseline
planner_participation_ratio,0.10060304454421573,0.5108297388615792,B-candidate
planner_brief_cosine_slope,-0.09673369667713051,0.52729924941998,A-baseline
executor_brief_cosine_slope,0.08899500094296008,0.5610028917645262,A-baseline
critic_rolestab_slope,0.08512565307587486,0.5782232371974128,B-candidate
critic_top1_var,-0.08512565307587486,0.5782232371974128,B-candidate
executor_rolestab_min,0.08125630520878963,0.5956794241039214,B-candidate
executor_novelty_slope,-0.08125630520878963,0.5956794241039214,A-baseline
planner_klrd_excess_final,-0.08125630520878963,0.5956794241039214,B-candidate
executor_rolestab_mean,0.0735176094746192,0.6312675278016695,B-candidate
critic_brief_cosine_max,0.06964826160753397,0.6493826355029964,A-baseline
executor_klrd_final,-0.06964826160753397,0.6493826355029964,B-candidate
executor_klrd_auc,-0.06577891374044875,0.6676999885545247,B-candidate
critic_participation_ratio,0.06190956587336353,0.6862103218198085,B-candidate
planner_rolestab_slope,0.06190956587336353,0.6862103218198085,B-candidate
executor_klrd_excess_slope,-0.06190956587336353,0.6862103218198085,B-candidate
planner_lz76,-0.05992736755705294,0.7284509582654394,B-candidate
critic_brief_jaccard_slope,-0.050301522272107865,0.7428018188192116,A-baseline
planner_novelty_mean,0.04256282653793743,0.7813107399237003,A-baseline
critic_self_repetition_mean,0.03869347867085221,0.8007674319532433,A-baseline
executor_novelty_mean,0.030954782936681764,0.8400293488185445,A-baseline
critic_vcv_slope,0.019346739335426105,0.8996199172692219,B-candidate
critic_klrd_slope,-0.015477391468340882,0.9196220687908698,B-candidate
critic_vcv_mean,-0.015477391468340882,0.9196220687908698,B-candidate
critic_effective_rank,-0.011608043601255662,0.9396734032625548,B-candidate
planner_klrd_excess_slope,0.011608043601255662,0.9396734032625548,B-candidate
critic_token_slope,0.0038693478670852204,0.9798746753561125,A-baseline
critic_brief_cosine_mean,0.0038693478670852204,0.9798746753561125,A-baseline
planner_effective_rank,0.0038693478670852204,0.9798746753561125,B-candidate
