candidate,auc_with,delta_auc,delta_sd,perm_p,tier,bh_q,survives
planner_rolestab_mean,0.7181589147286822,0.0374031007751938,0.012798623337272136,,exploratory,1.0,False
executor_rolestab_mean,0.7091666666666666,0.02841085271317828,0.015137681132217487,,exploratory,1.0,False
planner_rolestab_min,0.7067054263565893,0.02594961240310077,0.015172562184106364,,exploratory,1.0,False
executor_klrd_excess_slope,0.6934302325581395,0.01267441860465115,0.006991908584206525,0.13893053473263367,PRIMARY,0.1854072963518241,False
critic_klrd_excess_slope,0.6903682170542635,0.009612403100775163,0.010670958664176841,0.18340829585207397,PRIMARY,0.1854072963518241,False
planner_klrd_excess_slope,0.6895542635658914,0.008798449612403076,0.008361768684334478,0.1854072963518241,PRIMARY,0.1854072963518241,False
executor_klrd_slope,0.6874806201550389,0.006724806201550365,0.013142492978404006,,exploratory,1.0,False
executor_rolestab_slope,0.6855232558139537,0.004767441860465104,0.010651583102186158,,exploratory,1.0,False
critic_lz76,0.6849999999999999,0.004244186046511583,0.005313718832989515,,exploratory,1.0,False
executor_klrd_excess_final,0.6834496124031008,0.002693798449612389,0.00837736250331023,,exploratory,1.0,False
executor_klrd_final,0.6830038759689923,0.00224806201550386,0.00542303331236981,,exploratory,1.0,False
critic_klrd_final,0.6810658914728681,0.00031007751937982,0.004073641566908941,,exploratory,1.0,False
executor_vcv_mean,0.681046511627907,0.00029069767441858296,0.004179716359326366,,exploratory,1.0,False
planner_vcv_max,0.6800581395348838,-0.0006976744186046546,0.007874610760013317,,exploratory,1.0,False
critic_klrd_slope,0.6800387596899224,-0.0007170542635659083,0.006306375454404301,,exploratory,1.0,False
planner_vcv_mean,0.6796511627906978,-0.0011046511627906875,0.0025187089148371975,,exploratory,1.0,False
critic_klrd_auc,0.6796124031007751,-0.0011434108527132113,0.0022248028252682163,,exploratory,1.0,False
executor_klrd_auc,0.6791860465116277,-0.0015697674418604813,0.002244969136779985,,exploratory,1.0,False
critic_vcv_mean,0.6790891472868216,-0.0016666666666666718,0.0024270499541788047,,exploratory,1.0,False
planner_klrd_auc,0.6787015503875968,-0.0020542635658915066,0.0024270499541787995,,exploratory,1.0,False
planner_klrd_final,0.6779651162790697,-0.0027906976744186073,0.0025493152949465476,,exploratory,1.0,False
executor_vcv_max,0.6777325581395348,-0.0030232558139534848,0.00457725517619676,,exploratory,1.0,False
planner_rolestab_slope,0.6772868217054263,-0.003468992248062036,0.009858590181794438,,exploratory,1.0,False
critic_rolestab_slope,0.6771705426356589,-0.003585271317829464,0.010647192285456648,,exploratory,1.0,False
planner_klrd_excess_final,0.676608527131783,-0.004147286821705459,0.0071207152071258864,,exploratory,1.0,False
planner_vcv_slope,0.6758333333333332,-0.004922480620155068,0.00710804526107195,,exploratory,1.0,False
executor_vcv_slope,0.6753875968992249,-0.005368217054263602,0.008804743676408688,,exploratory,1.0,False
planner_top1_var,0.675251937984496,-0.005503875968992272,0.008508259595314777,,exploratory,1.0,False
critic_klrd_excess_final,0.6748837209302325,-0.005872093023255842,0.00495044094732806,,exploratory,1.0,False
executor_effective_rank,0.6745930232558139,-0.006162790697674459,0.005099367162698549,,exploratory,1.0,False
planner_effective_rank,0.6739728682170542,-0.006782945736434115,0.006421136638744677,,exploratory,1.0,False
critic_top1_var,0.6738953488372093,-0.00686046511627908,0.006657308196164939,,exploratory,1.0,False
executor_rolestab_min,0.673856589147287,-0.006899224806201554,0.010296954987485453,,exploratory,1.0,False
critic_effective_rank,0.6735852713178294,-0.007170542635658928,0.00457380764387824,,exploratory,1.0,False
critic_vcv_max,0.6733527131782947,-0.007403100775193816,0.006065489002672078,,exploratory,1.0,False
planner_lz76,0.6730232558139535,-0.007732558139534895,0.00760072973354683,,exploratory,1.0,False
executor_participation_ratio,0.6728100775193798,-0.007945736434108553,0.007701873215691522,,exploratory,1.0,False
critic_vcv_slope,0.6727325581395349,-0.0080232558139535,0.008928284267446844,,exploratory,1.0,False
planner_participation_ratio,0.6727325581395349,-0.008023255813953512,0.007820529870711227,,exploratory,1.0,False
critic_rolestab_min,0.6724031007751938,-0.008352713178294608,0.009370290315915032,,exploratory,1.0,False
executor_lz76,0.6721511627906976,-0.008604651162790721,0.009488289759991385,,exploratory,1.0,False
critic_participation_ratio,0.6720542635658914,-0.008701550387596912,0.00561611054684812,,exploratory,1.0,False
planner_klrd_slope,0.6710077519379845,-0.0097480620155039,0.008370006738331284,,exploratory,1.0,False
executor_top1_var,0.6701356589147286,-0.0106201550387597,0.007963583662127544,,exploratory,1.0,False
critic_rolestab_mean,0.6697868217054264,-0.010968992248062037,0.010213821817538498,,exploratory,1.0,False
