feature,spearman_rho,p,group
planner_rolestab_mean,0.4701347608132321,5.427367245468131e-07,B-candidate
executor_total_tokens,-0.44961145361772376,1.8948155509862518e-06,A-baseline
planner_total_tokens,-0.41617201560933637,1.2301057577340924e-05,A-baseline
planner_rolestab_min,0.4032564356834625,2.4059550839950643e-05,B-candidate
executor_mean_tokens_per_turn,-0.386704518352239,5.4634189604112974e-05,A-baseline
planner_mean_tokens_per_turn,-0.36717165100298643,0.00013615191142718583,A-baseline
critic_klrd_final,-0.324459201124625,0.000826827699318792,B-candidate
planner_n_turns,-0.31787041833088703,0.0010680500892285075,A-baseline
critic_n_turns,-0.31787041833088703,0.0010680500892285075,A-baseline
executor_n_turns,-0.31787041833088703,0.0010680500892285075,A-baseline
critic_total_tokens,-0.3178410755586617,0.0010692547363873968,A-baseline
planner_klrd_auc,-0.3158510998702982,0.0011539000879966013,B-candidate
critic_klrd_auc,-0.3059186753460749,0.0016748565381052895,B-candidate
planner_klrd_final,-0.2959862508218517,0.0024006022950878773,B-candidate
executor_rolestab_mean,0.29068895774226605,0.0028940706384890857,B-candidate
executor_klrd_auc,-0.2893646344723696,0.0030308942445340516,B-candidate
executor_klrd_final,-0.28671598793257674,0.0033221046559901235,B-candidate
executor_effective_rank,-0.28605382629762854,0.003398721984921957,B-candidate
executor_klrd_excess_slope,-0.2840673413927839,0.0036381721562016166,B-candidate
planner_novelty_slope,-0.27545924013845713,0.004859738271291775,A-baseline
critic_effective_rank,-0.2734727552336125,0.005188947491608476,B-candidate
executor_novelty_mean,0.25493222945506244,0.009355224177432566,A-baseline
critic_novelty_mean,0.24897277474052854,0.011211761730205353,A-baseline
critic_klrd_excess_slope,-0.24367548166094283,0.013124847489290768,B-candidate
executor_participation_ratio,-0.2383781885813571,0.015316246696368286,B-candidate
critic_mean_tokens_per_turn,-0.2373882051160331,0.01575921467121175,A-baseline
executor_novelty_slope,-0.23572954204156427,0.01652627774017281,A-baseline
planner_effective_rank,-0.2344052187716678,0.017161711171624724,B-candidate
planner_brief_cosine_max,-0.20924307664363567,0.033904178625405325,A-baseline
critic_participation_ratio,-0.20791875337373927,0.035075840825936275,B-candidate
planner_vcv_max,-0.20394578356404996,0.03879694074128709,B-candidate
critic_vcv_slope,0.19335119740487855,0.050363966746147786,B-candidate
executor_brief_cosine_slope,0.19268903576993035,0.05117261671522814,A-baseline
executor_rolestab_min,0.19070255086508567,0.05366303909048554,B-candidate
planner_token_slope,-0.1807706226805114,0.06765217315736297,A-baseline
planner_rolestab_slope,-0.18010796470591428,0.06868195193800143,B-candidate
planner_klrd_excess_slope,-0.18010796470591428,0.06868195193800143,B-candidate
executor_klrd_excess_final,-0.1754728332612768,0.07624464219732628,B-candidate
executor_brief_cosine_max,0.1754728332612768,0.07624464219732628,A-baseline
planner_brief_cosine_mean,-0.17348634835643212,0.07968420919150797,A-baseline
planner_vcv_slope,0.1721620250865357,0.08204549138683792,B-candidate
critic_klrd_excess_final,-0.16421608546715713,0.09740942819889636,B-candidate
critic_brief_jaccard_mean,-0.1589187923875714,0.10885228175087723,A-baseline
planner_participation_ratio,-0.15693230748272677,0.11340386597098714,B-candidate
executor_top1_var,0.14435123641871067,0.14573660499273944,B-candidate
executor_brief_jaccard_mean,0.14236475151386604,0.15142130661965886,A-baseline
critic_lz76,0.1534209493132281,0.17148803114906555,B-candidate
critic_vcv_mean,0.13441881189448748,0.1758304490256818,B-candidate
planner_self_repetition_mean,0.12912151881490178,0.1936364812086466,A-baseline
critic_top1_var,0.12779719554500535,0.19828498660369842,B-candidate
planner_klrd_excess_final,-0.12779719554500535,0.19828498660369842,B-candidate
executor_vcv_mean,0.12647287227510892,0.2030133490248552,B-candidate
planner_vcv_mean,-0.1258107106401607,0.2054076321745236,B-candidate
critic_brief_cosine_mean,-0.12514854900521247,0.20782206373949064,A-baseline
planner_brief_jaccard_mean,-0.12448638737026427,0.21025670246392306,A-baseline
critic_klrd_slope,-0.12448638737026427,0.21025670246392306,B-candidate
critic_self_repetition_mean,-0.11852693265573035,0.23308680878385354,A-baseline
